"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.014078333E-1,6.478806306E-3,4.821275985E-3,-2.271526337E-2,2.410814848E-2
7.113938333E-1,1.211297089E-2,6.336627603E-3,-2.956352234E-3,1.398631230E-2
7.213808333E-1,6.828748458E-3,-5.643650321E-3,3.330574036E-3,9.464423800E-3
7.313668333E-1,-3.866727166E-3,4.755366901E-3,-6.250088811E-3,8.753782239E-3
7.413528333E-1,-6.835315155E-3,4.306108877E-4,-1.059106171E-2,1.261259478E-2
7.513398333E-1,-7.559045136E-3,1.100515421E-2,6.174659729E-3,1.470982683E-2
7.613258333E-1,-6.577576285E-3,1.171035126E-2,1.982790828E-3,1.357675572E-2
7.713128333E-1,1.535912803E-3,6.121719587E-3,-9.842618108E-3,1.169237401E-2
7.812988333E-1,1.209409763E-3,-5.628904374E-4,-4.604097605E-3,4.793457246E-3
7.912848333E-1,-2.540080729E-3,9.132071771E-4,-1.074250460E-2,1.107643275E-2
8.012718333E-1,-2.681941947E-3,-7.952487376E-3,-2.436476290E-2,2.576968256E-2
8.112578333E-1,-1.391868016E-2,-7.546178978E-3,-1.448472261E-2,2.145883650E-2
8.212448333E-1,-7.622517119E-3,-1.394469114E-2,-1.673063815E-2,2.307534249E-2
8.312308333E-1,-1.757220780E-3,-8.328901883E-3,-1.343748629E-2,1.590674289E-2
8.412168333E-1,-6.273052837E-3,-1.587446873E-2,5.124499798E-3,1.782162864E-2
8.512038333E-1,6.077305872E-3,-1.200558997E-2,-4.606436491E-3,1.422276676E-2
8.611898333E-1,6.748168801E-3,-1.255077431E-3,-1.164297581E-2,1.351561642E-2
8.711768333E-1,1.611974572E-3,4.847775749E-3,-9.547333717E-3,1.082824884E-2
8.811628333E-1,-1.353303802E-3,1.180416253E-2,1.230838895E-3,1.194506796E-2
8.911488333E-1,-4.370149593E-3,2.421240182E-2,-1.014550388E-2,2.661333986E-2
9.011358333E-1,-2.805909771E-3,1.547240413E-2,-1.733056247E-2,2.340121396E-2
9.111218333E-1,-9.051542364E-3,7.653658111E-3,-5.056672096E-3,1.288715773E-2
9.211088333E-1,-6.452199190E-3,1.768447434E-2,-4.757294655E-3,1.941657435E-2
9.310948333E-1,-1.080435946E-2,2.705641899E-2,-1.373920262E-2,3.221101800E-2
9.410818333E-1,-6.005465062E-3,2.394497393E-2,-2.152301610E-2,3.275160468E-2
9.510678333E-1,-1.119071880E-2,6.208272083E-3,-9.398229718E-3,1.587770611E-2
